date,text
"27 янв, 21:35",В Словакии назвали размер ущерба при прекращении поставок газа из РоссииВ Словакии назвали размер ущерба при прекращении поставок газа из России
"27 янв, 21:18",Минэк сообщил о принудительном лицензировании технологий ушедших компанийМинэк сообщил о принудительном лицензировании технологий ушедших компаний
"27 янв, 18:45",В «Росатоме» заявили о планах создать «атомный кластер» в УзбекистанеВ «Росатоме» заявили о планах создать «атомный кластер» в Узбекистане
"27 янв, 14:07",Российские Ил-114-300 и SJ100 прилетели на выставку в Индию. ВидеоРоссийские Ил-114-300 и SJ100 прилетели на выставку в Индию. Видео
"27 янв, 14:04",В России начали работу над локомотивом с ядерным реакторомВ России начали работу над локомотивом с ядерным реактором
"27 янв, 11:11",ЕС и Индия заключили «главную торговую сделку всех времен»ЕС и Индия заключили «главную торговую сделку всех времен»
"26 янв, 23:56",ЦБ оценил дефицит кадров в России
"26 янв, 17:33",В центре России зафиксировали новый рекорд потребления электричестваВ центре России зафиксировали новый рекорд потребления электричества
"26 янв, 16:11",WSJ рассказала о проблемах Ирана с продажей нефтиWSJ рассказала о проблемах Ирана с продажей нефти
"26 янв, 14:48",Reuters сообщил о письме Airbus сотрудникам об ущербе и будущих кризисахReuters сообщил о письме Airbus сотрудникам об ущербе и будущих кризисах
"26 янв, 11:39",Казахстан призвал ускорить устранение аварии на месторождении ТенгизКазахстан призвал ускорить устранение аварии на месторождении Тенгиз
"25 янв, 12:55",Компания из США решила построить альтернативу «Турецкому потоку»Компания из США решила построить альтернативу «Турецкому потоку»
"23 янв, 21:40",В ЦБ объяснили необходимость в осторожном снижении ключевой ставкиВ ЦБ объяснили необходимость в осторожном снижении ключевой ставки
"23 янв, 19:04",В ЦБ не увидели надувания пузыря цен на рынке недвижимости в 2025 годуВ ЦБ не увидели надувания пузыря цен на рынке недвижимости в 2025 году
"23 янв, 15:45",Биржевая цена платины обновила исторический максимумБиржевая цена платины обновила исторический максимум
"23 янв, 14:48",МЭА отчиталось о снижении добычи природного газа в РоссииМЭА отчиталось о снижении добычи природного газа в России
"23 янв, 14:40","Глава JPMorgan заявил, что ожидает кризис из-за новой идеи ТрампаГлава JPMorgan заявил, что ожидает кризис из-за новой идеи Трампа"
"23 янв, 13:59",Акции чешской оборонной компании CSG выросли на 25% в первый день торговАкции чешской оборонной компании CSG выросли на 25% в первый день торгов
"23 янв, 13:37","В Росстате раскрыли, что подорожало и подешевело за 2025 годВ Росстате раскрыли, что подорожало и подешевело за 2025 год"
"23 янв, 03:43",Минфин запланировал продлить угольщикам отсрочку по налогамМинфин запланировал продлить угольщикам отсрочку по налогам
"22 янв, 16:38",В России установили исторический максимум энергопотребления из-за морозовВ России установили исторический максимум энергопотребления из-за морозов
"22 янв, 13:59",Где заморожены активы России и на что Путин допустил передачу их частиГде заморожены активы России и на что Путин допустил передачу их части
"21 янв, 21:31",Президент «Опоры России» назвал варианты поддержки малого бизнеса
"21 янв, 21:20",Украинская компания разместила бонды впервые с 2022 годаУкраинская компания разместила бонды впервые с 2022 года
"21 янв, 18:55",ЦБ назвал инфляцию в прошлом году рекордно низкой за пять летЦБ назвал инфляцию в прошлом году рекордно низкой за пять лет
"21 янв, 18:36",Bloomberg узнал о срыве торговой сделки между США и ЕСBloomberg узнал о срыве торговой сделки между США и ЕС
"21 янв, 18:29",Патрушев назвал регулирование цен на продукты «опасной историей»Патрушев назвал регулирование цен на продукты «опасной историей»
"21 янв, 15:27",На месторождении Тенгиз в Казахстане объявили форс-мажор после аварииНа месторождении Тенгиз в Казахстане объявили форс-мажор после аварии
"21 янв, 14:26",Министра США освистали на ужине в ДавосеМинистра США освистали на ужине в Давосе
