date,title
2025-09-30,30.09.2025 Продажи детской продукции в этом году могут вырасти более чем на 15%
2025-09-30,30.09.2025 Погрузка на железной дороге в 2026 году не восстановится до уровня 2024 года
2025-09-29,29.09.2025 Крупнейший онлайн-ритейлер КНР JD.com может увеличить долю в «М.видео»
2025-09-29,29.09.2025 Россия увеличила экспорт угля в январе – августе
2025-09-29,29.09.2025 Rendez-Vous приобрела французский одежный бренд Maison David
2025-09-29,29.09.2025 Минтранс предложил принципы регулирования эксплуатации ветхого флота
2025-09-26,26.09.2025 Как Россия договорилась с Ираном о постройке второй после «Бушера» большой АЭС
2025-09-26,26.09.2025 «Не люблю быть №1»: какие ошибки совершал и чему научился Алексей Мордашов
2025-09-25,25.09.2025 Полный запрет на экспорт бензина затянется до конца года
2025-09-25,25.09.2025 «Р-фарм» начал разрабатывать вакцину от пневмококковой инфекции
2025-09-25,25.09.2025 «Русагро» раскрыла сумму вознаграждения за долю в «Агро-Белогорье»
2025-09-25,25.09.2025 Пассажирские авиаперевозки начнут расти в 2028 году
2025-09-25,25.09.2025 Инвестфонд Владимира Потанина проинвестировал конкурента «дочки» АФК «Система»
2025-09-25,25.09.2025 «Алроса» инвестирует 20 млрд рублей в трубку «Удачная»
2025-09-24,24.09.2025 ОСК договаривается с «Газпромом» о строительстве серии танкеров-газовозов
2025-09-23,23.09.2025 Возврат товаров на маркетплейсах могут ограничить
2025-09-23,23.09.2025 От производителей неоригинальных авиазапчастей начнут требовать сертификаты
2025-09-23,23.09.2025 Пить будут не по паспорту: как в России можно будет купить спиртное по QR-коду
2025-09-23,23.09.2025 В России появится новая сеть ресторанов сэндвичей SBW
2025-09-23,23.09.2025 Бывшая Baker Hughes осенью начнет выпуск нефтесервисного оборудования в России
2025-09-22,22.09.2025 Правительство одобрило корректировку требований для лицензий на торговлю табаком
2025-09-22,22.09.2025 Аналитики ожидают падения выручки российских угольщиков в 2025 году на 12%
2025-09-22,22.09.2025 Трафик на платных дорогах «Автодора» летом перешел к стагнации
2025-09-22,22.09.2025 «Авито» может построить собственный датацентр
2025-09-22,"22.09.2025 «Сбер» продал долю в «Еаптеке» структурам, связанным с Алексеем Репиком"
2025-09-22,22.09.2025 Рейтинг «Ведомостей»: топ-200 туристических уголков России
2025-09-22,22.09.2025 Холдинг «Ак барс» может получить контракт на строительство первого СПГ-ледокола
2025-09-22,22.09.2025 Сеть кофеен «Здрасте» займется выпуском десертов
2025-09-19,19.09.2025 Газпромбанк может стать акционером «Медскана»
2025-09-19,19.09.2025 Селлеры пожаловались на новые правила возвратов товаров на Ozon
2025-09-18,18.09.2025 На бывшем автозаводе Toyota в Санкт-Петербурге будут делать машины Senat
2025-09-17,17.09.2025 Рынок продовольственных товаров стал расти медленнее
2025-09-17,17.09.2025 Импорт автомобилей с пробегом из Южной Кореи вырос почти в 2 раза
2025-09-17,17.09.2025 Российский ритейлер «Светофор» начал работать в Бразилии
2025-09-17,17.09.2025 Как прошла пленарная сессия промышленно-энергетического форума TNF-2025
2025-09-16,"16.09.2025 Продажи новых легковых автомобилей в 2026 году вырастут до 1,5 млн штук"
2025-09-16,16.09.2025 Сеть зоомагазинов Cats & Dogs закрыла почти все точки в Москве
2025-09-16,16.09.2025 Как проходит промышленно-энергетический форум TNF-2025
2025-09-16,16.09.2025 Lamoda запустила свой бренд спортивной одежды
2025-09-15,15.09.2025 Аналитики ожидают оживления в черной металлургии в России с 2026 года
2025-09-15,15.09.2025 Минфин выступил против индексации отсечки для акциза на сталь
2025-09-15,15.09.2025 Структура АФК «Система» инвестирует в препарат от заболеваний печени
2025-09-15,15.09.2025 Нефтегазовые компании не стали делиться данными друг с другом
2025-09-15,15.09.2025 Х5 вслед за «Магнитом» начал открывать ультрамалые магазины
2025-09-15,15.09.2025 «Ригла» купила еще одну крупную дальневосточную сеть аптек
2025-09-15,15.09.2025 Китай в январе – июле втрое увеличил импорт никеля из России
2025-09-15,15.09.2025 Ритейлеры увеличивают долю продаж мужской одежды
2025-09-12,12.09.2025 Минпромторг изменит порядок начисления утильсбора на легковые автомобили
2025-09-11,11.09.2025 У внутренних IT-разработок крупных холдингов возникли сложности с тиражированием
2025-09-11,11.09.2025 Ставки фрахта балкеров на Дальнем Востоке выросли до максимума с апреля
2025-09-11,11.09.2025 Концерн «Детскосельский» продал молочный комплекс в Воронеже
2025-09-11,11.09.2025 Аэропорт Краснодара возобновляет работу
2025-09-11,11.09.2025 Темпы роста оборотов у крупнейших ритейлеров начали снижаться
2025-09-11,11.09.2025 Создатель SSJ100 Погосян покинул пост председателя совета директоров УЗГА
2025-09-10,10.09.2025 «Роснефть» предложила оптимизировать затраты на строительство генерации
2025-09-10,10.09.2025 Выходец из «Сбера» с партнером вложились в производителя салатов
2025-09-09,09.09.2025 На Патриарших прудах по-прежнему практически нет мест под рестораны
2025-09-09,09.09.2025 ОТЭКО начала перевалку удобрений в азовском порту Тамань
2025-09-09,09.09.2025 Завод-разработчик самолета «Байкал» возглавил экс-глава РКК «Энергия» Игорь Озар
2025-09-08,08.09.2025 Минпромторг покидает первый заместитель министра Василий Осьмаков
