date,text
"29 янв, 13:27","«Сбер» раскрыл, сколько средств мошенники похитили у россиян за год«Сбер» раскрыл, сколько средств мошенники похитили у россиян за год"
"28 янв, 01:07",Трамп сравнил курс доллара с йо-йо на фоне минимума за четыре годаТрамп сравнил курс доллара с йо-йо на фоне минимума за четыре года
"28 янв, 00:02",Сотовые операторы прекратили маркировать звонки из крупных банковСотовые операторы прекратили маркировать звонки из крупных банков
"27 янв, 09:00",В Т-Банке рассказали о переломе ситуации с телефонным мошенничествомВ Т-Банке рассказали о переломе ситуации с телефонным мошенничеством
"27 янв, 00:03",Счетная палата нашла нарушения при работах в Политехе и ТретьяковкеСчетная палата нашла нарушения при работах в Политехе и Третьяковке
"26 янв, 14:23",В Думе предупредили о росте рисков использования карт Visa и MastercardВ Думе предупредили о росте рисков использования карт Visa и Mastercard
"26 янв, 07:03","Число россиян-банкротов превысило 2,2 млн человекЧисло россиян-банкротов превысило 2,2 млн человек"
"25 янв, 09:01","Олег Вьюгин рассказал, что почитать для «широкого» взгляда на экономику "
"24 янв, 09:58",В ЦБ исключили связь ограничения эквайринговой комиссии и снижения цен
"24 янв, 03:02",Как рынок ссуд на покупки рухнул до минимума за 12 лет. ИнфографикаКак рынок ссуд на покупки рухнул до минимума за 12 лет. Инфографика
"23 янв, 11:37",ВТБ снизил ставки по кредитам наличнымиВТБ снизил ставки по кредитам наличными
"23 янв, 11:22",В Фора-банке сочли лукавством позицию операторов по звонкам мошенников 
"23 янв, 09:16",АСВ назвало дату начала выплат вкладчикам Нового московского банкаАСВ назвало дату начала выплат вкладчикам Нового московского банка
"23 янв, 08:42",ЦБ отозвал лицензию у Нового московского банкаЦБ отозвал лицензию у Нового московского банка
"23 янв, 04:01","Аналитики раскрыли, какой кредит россияне просили в разных городахАналитики раскрыли, какой кредит россияне просили в разных городах"
"22 янв, 15:52",АТОР сообщила о блокировках банками оплаты туров через СБПАТОР сообщила о блокировках банками оплаты туров через СБП
"21 янв, 16:37",Закон о новых штрафах за финансовые нарушения прошел первое чтениеЗакон о новых штрафах за финансовые нарушения прошел первое чтение
"21 янв, 12:14",Минфин оценил претензии по поводу царских долгов России на $225 млрдМинфин оценил претензии по поводу царских долгов России на $225 млрд
"20 янв, 19:01",Объем наличных на руках у россиян за 2025 год подскочил на ₽1 трлнОбъем наличных на руках у россиян за 2025 год подскочил на ₽1 трлн
"20 янв, 10:20",«Сбер» обновил рекорд по чистой прибыли третий год подряд«Сбер» обновил рекорд по чистой прибыли третий год подряд
"19 янв, 18:22",Банк России опроверг рост блокировок карт из-за подозрительных операцийБанк России опроверг рост блокировок карт из-за подозрительных операций
"19 янв, 17:57","Банк России назвал дату выпуска новых банкнот номиналом ₽500, ₽50 и ₽10Банк России назвал дату выпуска новых банкнот номиналом ₽500, ₽50 и ₽10"
"19 янв, 17:41",ЦБ заявил о работе над запретом похожих на деньги предметовЦБ заявил о работе над запретом похожих на деньги предметов
"18 янв, 06:56","Hh.ru раскрыл, какую зарплату предлагают курьерам работодатели"
"16 янв, 20:28",Росстат назвал размер инфляции в 2025 годуРосстат назвал размер инфляции в 2025 году
"16 янв, 17:00",Представитель Euroclear заявил об «оговорке» про спор с ЦБ в БрюсселеПредставитель Euroclear заявил об «оговорке» про спор с ЦБ в Брюсселе
"16 янв, 15:38",Россия потребовала отозвать из суда США иск о царском долге на $225 млрдРоссия потребовала отозвать из суда США иск о царском долге на $225 млрд
"15 янв, 17:22",Банк России почти удвоит продажи валюты на внутреннем рынкеБанк России почти удвоит продажи валюты на внутреннем рынке
"15 янв, 16:16",Минфин разъяснил приостановку выдачи семейной ипотеки двумя банкамиМинфин разъяснил приостановку выдачи семейной ипотеки двумя банками
"15 янв, 15:30",Два банка решили приостановить выдачу семейной ипотекиДва банка решили приостановить выдачу семейной ипотеки
"15 янв, 11:02",Россияне в 2025-м взяли минимальный объем кредитов за шесть летРоссияне в 2025-м взяли минимальный объем кредитов за шесть лет
"15 янв, 00:56","Citi потерял $1,2 млрд из-за ухода из РоссииCiti потерял $1,2 млрд из-за ухода из России"
"14 янв, 10:13",В Банке России назвали причины отказа от запрета МФОВ Банке России назвали причины отказа от запрета МФО
